Point_Index,Sweep_Timestamp,Temperature_C,Frequency_Hz,Real_S11,Imag_S11,Current_Step
151,2025-12-07 15:36:57,24.91,15000250000.0,-0.652931928635,-0.221899360418,1
152,2025-12-07 15:36:57,24.91,15100245000.0,-0.955862522125,-0.251338422298,1
153,2025-12-07 15:36:57,24.91,15200240000.0,-1.18481111526,0.229680269957,1
154,2025-12-07 15:36:57,24.91,15300235000.0,-0.850048065186,0.546194195747,1
155,2025-12-07 15:36:57,24.91,15400230000.0,-0.61418068409,0.396984815598,1
156,2025-12-07 15:36:57,24.91,15500225000.0,-0.670217216015,0.225968569517,1
157,2025-12-07 15:36:57,24.91,15600220000.0,-0.614530384541,0.0836687088013,1
158,2025-12-07 15:36:57,24.91,15700215000.0,-0.207795977592,0.380208730698,1
159,2025-12-07 15:36:57,24.91,15800210000.0,-0.188928693533,0.173018172383,1
160,2025-12-07 15:36:57,24.91,15900205000.0,-0.225721150637,0.114259772003,1
161,2025-12-07 15:36:57,24.91,16000200000.0,-0.273161172867,0.0554605908692,1
162,2025-12-07 15:36:57,24.91,16100195000.0,-0.344096601009,-0.0227019488811,1
163,2025-12-07 15:36:57,24.91,16200190000.0,-0.527379572392,-0.110145427287,1
164,2025-12-07 15:36:57,24.91,16300185000.0,-0.544040024281,-0.111746758223,1
165,2025-12-07 15:36:57,24.91,16400180000.0,-0.561759352684,-0.115067914128,1
166,2025-12-07 15:36:57,24.91,16500175000.0,-0.644798874855,-0.20923563838,1
167,2025-12-07 15:36:57,24.91,16600170000.0,-0.70611423254,-0.373057752848,1
168,2025-12-07 15:36:57,24.91,16700165000.0,-0.374774128199,-0.138500750065,1
169,2025-12-07 15:36:57,24.91,16800160000.0,-0.290926158428,-0.0162934362888,1
170,2025-12-07 15:36:57,24.91,16900155000.0,-0.23356243968,0.097485601902,1
171,2025-12-07 15:36:57,24.91,17000150000.0,-0.201881244779,0.224114343524,1
172,2025-12-07 15:36:57,24.91,17100145000.0,-0.278111815453,0.704257786274,1
173,2025-12-07 15:36:57,24.91,17200140000.0,-0.564846098423,-0.262981295586,1
174,2025-12-07 15:36:57,24.91,17300135000.0,-0.665278792381,-0.249523639679,1
175,2025-12-07 15:36:57,24.91,17400130000.0,-0.774940729141,-0.332409799099,1
176,2025-12-07 15:36:57,24.91,17500125000.0,-0.771606266499,-0.420249938965,1
177,2025-12-07 15:36:57,24.91,17600120000.0,-0.748489320278,-0.512871265411,1
178,2025-12-07 15:36:57,24.91,17700115000.0,-0.34837898612,-0.808737099171,1
179,2025-12-07 15:36:57,24.91,17800110000.0,0.00296428799629,-0.684300243855,1
180,2025-12-07 15:36:57,24.91,17900105000.0,-0.149295300245,0.835493505001,1
181,2025-12-07 15:36:57,24.91,18000100000.0,-0.309058248997,0.116606928408,1
182,2025-12-07 15:36:57,24.91,18100095000.0,-0.27180814743,-0.023575425148,1
183,2025-12-07 15:36:57,24.91,18200090000.0,-0.264789372683,-0.160290062428,1
184,2025-12-07 15:36:57,24.91,18300085000.0,-0.410157322884,-0.251774460077,1
185,2025-12-07 15:36:57,24.91,18400080000.0,-0.639971971512,-0.726469516754,1
186,2025-12-07 15:36:57,24.91,18500075000.0,-0.635647952557,-0.60226893425,1
187,2025-12-07 15:36:57,24.91,18600070000.0,-0.598329663277,-0.512047171593,1
188,2025-12-07 15:36:57,24.91,18700065000.0,-0.38488727808,-0.772738397121,1
189,2025-12-07 15:36:57,24.91,18800060000.0,-0.0479739010334,-0.796709835529,1
190,2025-12-07 15:36:57,24.91,18900055000.0,-0.438802748919,0.48232075572,1
191,2025-12-07 15:36:57,24.91,19000050000.0,-0.284807980061,0.027627915144,1
192,2025-12-07 15:36:57,24.91,19100045000.0,-0.300249099731,0.0770470350981,1
193,2025-12-07 15:36:57,24.91,19200040000.0,-0.317357540131,0.129378736019,1
194,2025-12-07 15:36:57,24.91,19300035000.0,-0.696350634098,-0.0382307469845,1
195,2025-12-07 15:36:57,24.91,19400030000.0,-0.213854089379,-0.547884106636,1
196,2025-12-07 15:36:57,24.91,19500025000.0,-0.342449307442,-0.48495683074,1
197,2025-12-07 15:36:57,24.91,19600020000.0,-0.509086191654,-0.570475995541,1
198,2025-12-07 15:36:57,24.91,19700015000.0,-0.346308171749,-0.67967069149,1
199,2025-12-07 15:36:57,24.91,19800010000.0,-0.167947486043,-0.681035339832,1
200,2025-12-07 15:36:57,24.91,19900005000.0,-0.372989177704,-0.062537163496,1
201,2025-12-07 15:36:57,24.91,20000000000.0,-0.194677650928,-0.0404188744724,1
